id	BTAS.1	BTAS.2	BTAS.3	BTAS.4	BTAS.6	MTAS.1	MTAS.2	MTAS.3	MTAS.4	MTAS.5	MTAS.6
PCHAS_0618300	1726	1495	699	1916	737	1052	951	803	995	516	667
PCHAS_0618400	355	211	158	486	219	176	138	108	151	78	122
PCHAS_0618500	2013	1382	753	2488	1207	1007	1257	814	1183	561	730
PCHAS_0618600	4902	2673	1572	5250	2873	2639	2432	1751	2423	1342	1868
PCHAS_0618700	170	148	53	221	89	53	40	25	74	22	52
PCHAS_0618800	9746	10019	5624	14354	5631	4732	5362	3687	5799	2416	3701
PCHAS_0618900	7784	8202	4520	11377	4420	4335	4800	3405	5492	2310	3439
PCHAS_0619000	1556	939	518	1895	959	854	800	669	844	454	594
PCHAS_0619100	6158	4071	2702	7151	3854	2825	3880	2493	3653	1636	2411
PCHAS_0619200	648	668	277	843	373	290	333	243	405	131	206
PCHAS_0619300	360	221	110	389	258	139	129	125	171	101	138
PCHAS_0619400	235	180	110	310	145	107	113	98	137	62	101
PCHAS_0619500	18	24	11	87	23	14	3	0	3	14	11
PCHAS_0619600	1170	1041	519	1565	705	596	667	455	774	325	492
PCHAS_0619700	765	585	299	806	440	391	273	244	337	218	241
PCHAS_0619800	1974	1966	1124	2678	1044	843	856	647	1019	374	666
PCHAS_0619900	5738	3879	2615	7206	3798	3156	3673	2572	3923	1735	2770
PCHAS_0620000	335	296	170	439	185	72	90	53	88	32	54
PCHAS_0620100	2561	2054	983	3208	1466	1517	1043	891	1035	762	916
PCHAS_0620200	4859	3223	2060	6237	2871	2238	2725	1872	2598	1151	1583
PCHAS_0620300	10449	8335	3942	12649	5576	6586	5190	3955	5258	4373	4677
PCHAS_0620400	1416	1083	807	1794	1023	1123	1310	851	1322	632	857
PCHAS_0620500	528	300	237	566	361	253	264	187	337	110	203
PCHAS_0620600	2194	1991	1301	2797	1107	834	864	597	955	411	658
PCHAS_0620700	3204	1605	808	3274	1636	1322	853	743	970	839	953
PCHAS_0620800	14775	15229	9268	21879	8573	7474	8461	5850	9109	4144	6270
PCHAS_0620900	1054	772	284	1695	580	193	108	61	114	111	148
PCHAS_0621000	1659	1700	496	2209	878	915	857	678	1037	450	590
PCHAS_0621100	1382	1271	833	2139	978	957	929	547	971	430	771
PCHAS_0621200	820	721	368	980	429	539	451	347	524	359	493
PCHAS_0621300	717	478	275	783	413	272	281	179	276	150	161
PCHAS_0621400	6406	2279	1554	7200	6012	5639	2174	1936	3213	3887	3559
PCHAS_0621500	670	517	444	883	474	277	468	313	427	161	211
PCHAS_0621600	2654	2535	1590	3896	1529	1155	1471	927	1537	685	968
PCHAS_0621700	889	729	270	1055	466	638	488	406	528	361	463
PCHAS_0621800	1798	1051	643	2096	1286	1298	1083	879	1283	664	1061
PCHAS_0621900	3115	2617	1947	3751	1620	1590	1222	977	1536	781	896
PCHAS_0622000	922	631	206	1415	655	307	98	117	238	166	209
PCHAS_0622100	280	191	73	409	172	43	26	21	55	45	43
PCHAS_0622200	553	580	230	689	309	197	281	175	274	99	155
PCHAS_0622300	114	53	24	123	52	19	7	11	19	9	16
PCHAS_0622400	282	192	107	411	145	82	26	16	29	29	42
PCHAS_0622500	73	39	38	139	44	52	35	21	48	16	30
PCHAS_0622600	2587	1345	644	2948	1865	2020	1917	1433	2085	1013	1462
PCHAS_0622700	247	238	108	235	123	130	111	112	148	78	114
PCHAS_0622800	157	143	52	248	69	13	30	20	76	14	41
PCHAS_0622900	772	607	344	1033	447	220	267	164	367	131	213
PCHAS_0623000	7695	3706	2159	8499	5171	8322	5158	4471	5695	4534	5693
PCHAS_0623100	1936	745	640	2235	1481	1514	1650	1097	1812	632	1021
PCHAS_0623200	2045	1260	880	2575	1310	949	964	615	1012	427	683
PCHAS_0623300	5156	2575	1187	6036	2953	3870	2431	2060	2930	1541	2549
PCHAS_0623400	626	479	281	902	411	267	319	232	332	151	194
PCHAS_0623500	384	274	141	432	183	125	160	105	186	79	103
PCHAS_0623600	162	189	80	308	143	76	80	55	116	30	85
PCHAS_0623700	131	80	37	183	63	43	26	2	21	30	40
PCHAS_0623800	6674	3378	2117	7441	4173	5500	3325	3203	3530	3235	3747
PCHAS_0623900	5130	3363	2714	6577	3827	4110	4788	3435	4458	2144	3100
PCHAS_0624000	349	275	151	439	196	111	149	82	155	53	73
PCHAS_0624100	784	347	240	1186	700	260	113	115	246	221	207
PCHAS_0624200	2352	1192	840	2688	1629	2391	1387	1427	1540	1154	1634
